genotype,sex,age,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,spot_sizes,spikes_stim_mean,spikes_stim_sem,spikes_tail_mean,spikes_tail_sem,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[12.666666666666666,12.333333333333334,12.666666666666666,13,13.333333333333334,12.666666666666666,9.6666666666666661,8.6666666666666661,5.333333333333333,4.333333333333333,4,4.666666666666667]","[1.0801234497346435,2.4832774042918895,2.1602468994692865,1.2247448713915889,1.4719601443879746,0.816496580927726,1.0801234497346435,0.40824829046386296,0.408248290463863,0.408248290463863,0,0.408248290463863]","[0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,0]",4,0,858,30,115,30,13.3333333333333,0,2322,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,333.333333333333,0.111111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[15.333333333333334,17.666666666666668,16,16,14,12.333333333333334,11.333333333333334,9,7.333333333333333,5,5.333333333333333,5]","[1.0801234497346435,1.4719601443879746,1.8708286933869707,1.2247448713915889,0,0.40824829046386296,0.816496580927726,0.70710678118654746,0.408248290463863,0,0.408248290463863,0.70710678118654746]","[0,0,0,5,6.333333333333333,2,0,0,0,0,0,0.66666666666666663]","[0,0,0,1.8708286933869707,1.6329931618554518,1.2247448713915889,0,0,0,0,0,0.816496580927726]",5,0,614,30,42,115,17.6666666666667,6.33333333333333,801.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,333.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[9.3333333333333339,14.333333333333334,13.333333333333334,15.666666666666666,14.666666666666666,13.666666666666666,11.666666666666666,7.333333333333333,5,3.3333333333333335,2.6666666666666665,2]","[1.4719601443879746,2.1602468994692865,0.40824829046386296,1.0801234497346435,1.4719601443879746,0.816496580927726,1.0801234497346435,0.408248290463863,0.70710678118654746,0.408248290463863,0.408248290463863,0.70710678118654746]","[1,0,0.66666666666666663,10,7.333333333333333,0,0,0,0,0,0.33333333333333331,0]","[1.2247448713915889,0,0.816496580927726,6.74536878161602,2.9439202887759492,0,0,0,0,0,0.408248290463863,0]",2,0,1200,42,82,82,15.6666666666667,10,1713,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,8,Left,VT,F-mini-ON,DJID_1582,400,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[18.666666666666668,19.666666666666668,18.333333333333332,17,14.333333333333334,13.333333333333334,10.333333333333334,6,5.333333333333333,4.333333333333333,5,3.3333333333333335]","[0.408248290463863,2.1602468994692869,1.0801234497346432,1.2247448713915889,1.0801234497346435,0.40824829046386296,0.40824829046386296,0,0.408248290463863,0.816496580927726,0.70710678118654746,0.408248290463863]","[0,4,12.333333333333334,8.3333333333333339,3,0,0,0,0.66666666666666663,0,0,0]","[0,2.4494897427831779,2.4832774042918895,1.4719601443879744,0.70710678118654746,0,0,0,0.816496580927726,0,0,0]",3.33333333333333,0,1200,30,42,59,19.6666666666667,12.3333333333333,2176.66666666667,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[1.6666666666666667,5.333333333333333,12,21,23.666666666666668,19.333333333333332,12.666666666666666,7.666666666666667,4.333333333333333,4,2.6666666666666665,2]","[1.4719601443879744,0.408248290463863,3.2403703492039297,1.8708286933869707,0.408248290463863,1.0801234497346435,1.6329931618554521,0.816496580927726,0.408248290463863,0,0.408248290463863,0.70710678118654746]","[0,0,0.33333333333333331,0,1,0,0,0,0,0,0,0]","[0,0,0.408248290463863,0,0.70710678118654746,0,0,0,0,0,0,0]",1.66666666666667,0,30,30,115,115,23.6666666666667,1,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,233.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,0,4,11.333333333333334,17.666666666666668,13,6.333333333333333,2,2.6666666666666665,0,0,0]","[0.408248290463863,0,1.8708286933869707,1.7795130420052188,0.408248290463863,1.2247448713915889,0.816496580927726,0,1.4719601443879746,0,0,0]","[1,0,0.66666666666666663,1.6666666666666667,1.3333333333333333,4.333333333333333,4,0.66666666666666663,0.66666666666666663,0,0,0]","[0.70710678118654746,0,0.408248290463863,1.0801234497346432,1.6329931618554521,2.6770630673681683,1.8708286933869707,0.816496580927726,0.408248290463863,0,0,0]",0,0,42,42,115,160,17.6666666666667,4.33333333333333,42,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[4,10.666666666666666,16.333333333333332,17.333333333333332,17.666666666666668,16,11.333333333333334,6,4,3,2.6666666666666665,2.6666666666666665]","[1.4142135623730949,1.0801234497346435,1.7795130420052188,0.408248290463863,1.7795130420052188,0,1.4719601443879744,0.70710678118654746,0,0,0.408248290463863,0.408248290463863]","[0,0,0,0,2.3333333333333335,1.6666666666666667,3.3333333333333335,0,0,0,0,0]","[0,0,0,0,1.7795130420052188,2.0412414523193148,0.408248290463863,0,0,0,0,0]",2.66666666666667,0,858,30,115,224,17.6666666666667,3.33333333333333,1834,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,F-mini-ON,DJID_1583,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,5,13.333333333333334,17,14,11.333333333333334,2,0.33333333333333331,0.66666666666666663,1.3333333333333333,2.6666666666666665,2]","[0.408248290463863,2.82842712474619,1.4719601443879746,5.3385391260156556,4.3011626335213125,2.4832774042918895,0.70710678118654746,0.408248290463863,0.408248290463863,0.816496580927726,3.2659863237109041,1.2247448713915889]","[3,3.3333333333333335,2,10.333333333333334,0.33333333333333331,1.3333333333333333,0.33333333333333331,0,0,0,0.66666666666666663,0.33333333333333331]","[3.6742346141747668,2.857738033247041,1.2247448713915889,11.452801695072983,0.408248290463863,1.6329931618554521,0.408248290463863,0,0,0,0.816496580927726,0.408248290463863]",0.333333333333333,0,30,314,82,82,17,10.3333333333333,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,VN,F-mini-ON,DJID_1583,200,2.30556,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[3,0,15.333333333333334,14,18.666666666666668,11.5,2.3333333333333335,2.3333333333333335,0,0,0,7]","[3.6742346141747668,0,8.0415587212098778,1.4142135623730951,2.6770630673681683,4.9497474683058327,1.0801234497346432,1.4719601443879746,0,0,0,8.5732140997411221]","[2.3333333333333335,2,16,1,4.666666666666667,3,2,2.3333333333333335,0.5,0,0,1.3333333333333333]","[2.2730302828309759,1.4142135623730949,14.966629547095765,1.4142135623730951,4.4907311951024926,2.8284271247461903,2.4494897427831779,2.857738033247041,0.70710678118654757,0,0,1.6329931618554521]",0,0,42,614,115,59,18.6666666666667,16,42,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,19.4286,Right,DT,F-mini-ON,DJID_1583,266.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0.33333333333333331,4.333333333333333,8,12.333333333333334,22,17,2,0,0,0,0,0]","[0.408248290463863,0.408248290463863,1.4142135623730949,1.0801234497346435,3.2403703492039297,1.8708286933869707,1.2247448713915889,0,0,0,0,0]","[0,0,1.6666666666666667,7.666666666666667,17,4.666666666666667,0,0,0,0,0,0]","[0,0,2.0412414523193148,7.6267074590983652,14.124446891825533,2.857738033247041,0,0,0,0,0,0]",0,0,314,30,115,115,22,17,314,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-ON,DJID_1589,366.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[7,12,17.666666666666668,23.333333333333332,30,30.333333333333332,18.666666666666668,9,9.3333333333333339,8,7,7]","[0.70710678118654746,0.70710678118654746,1.4719601443879746,2.6770630673681683,1.2247448713915889,2.48327740429189,1.4719601443879746,0.70710678118654746,1.0801234497346435,1.4142135623730949,0.70710678118654746,0.70710678118654746]","[0,0,0,0,0,5,1,0.66666666666666663,0,0,0,0]","[0,0,0,0,0,1.2247448713915889,0.70710678118654746,0.816496580927726,0,0,0,0]",7,0,30,30,160,160,30.3333333333333,5,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-ON,DJID_1589,366.666666666667,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[5.333333333333333,6.666666666666667,7.666666666666667,12.666666666666666,11.666666666666666,12.333333333333334,7.666666666666667,5,4.666666666666667,3,3,2.3333333333333335]","[0.816496580927726,1.0801234497346432,1.4719601443879744,0.40824829046386296,0.40824829046386296,1.7795130420052188,0.408248290463863,0.70710678118654746,0.408248290463863,0.70710678118654746,0,0.81649658092772592]","[0,0,0,0,2,0.66666666666666663,0,0,0,0,0,0]","[0,0,0,0,0.70710678118654746,0.408248290463863,0,0,0,0,0,0]",2.33333333333333,0,1200,30,82,115,12.6666666666667,2,2225.5,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-ON,DJID_1589,300,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[6.333333333333333,16,23.333333333333332,24,25.333333333333332,20.333333333333332,9,4.666666666666667,3.3333333333333335,3.3333333333333335,2.3333333333333335,2]","[5.49241901776136,0.70710678118654746,0.81649658092772592,0.70710678118654746,2.0412414523193152,0.81649658092772592,0.70710678118654746,0.408248290463863,0.81649658092772592,0.81649658092772592,1.0801234497346432,1.2247448713915889]","[0,0,0.33333333333333331,1.6666666666666667,1.6666666666666667,0,0,0,0,0,0,0]","[0,0,0.408248290463863,1.4719601443879744,1.0801234497346435,0,0,0,0,0,0,0]",2,0,1200,30,115,82,25.3333333333333,1.66666666666667,2226,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Male,6.5714,Left,DN,F-mini-ON,DJID_1589,433.333333333333,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[28.333333333333332,37,37.666666666666664,36.666666666666664,35,29,17,12.666666666666666,11.333333333333334,8.6666666666666661,7.333333333333333,7.333333333333333]","[1.4719601443879746,1.2247448713915889,1.0801234497346432,0.816496580927726,1.8708286933869707,1.4142135623730949,0.70710678118654746,0.816496580927726,1.4719601443879744,0.40824829046386296,0.408248290463863,0.408248290463863]","[2.3333333333333335,7,18.666666666666668,22,13.333333333333334,6.666666666666667,4,1.6666666666666667,0,0,0,0]","[2.2730302828309759,1.8708286933869707,2.0412414523193152,3.7416573867739413,1.4719601443879746,1.0801234497346432,1.4142135623730949,1.0801234497346435,0,0,0,0]",7.33333333333333,0,858,439,59,82,37.6666666666667,22,1529,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VN,F-mini-ON,DJID_1744,166.666666666667,0.611111,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,1.3333333333333333,0,3.3333333333333335,19,24.666666666666668,19,11.666666666666666,4,1.6666666666666667,3.3333333333333335,6.333333333333333]","[0,1.6329931618554521,0,2.9439202887759488,2.4494897427831779,2.857738033247041,1.2247448713915889,4.4907311951024926,1.4142135623730949,1.4719601443879744,2.48327740429189,5.01663898109747]","[0,3.6666666666666665,10.666666666666666,11,11,13.666666666666666,8.3333333333333339,10,3,18.666666666666668,12.333333333333334,10.666666666666666]","[0,4.4907311951024926,6.0138728508895705,4.2426406871192848,3.9370039370059051,5.4006172486732167,0.40824829046386296,6.74536878161602,3.6742346141747668,4.0207793606049389,7.6267074590983661,6.5701344481423414]",0,0,30,30,160,614,24.6666666666667,18.6666666666667,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VT,F-mini-ON,DJID_1744,200,0,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,0,0,5.333333333333333,16.666666666666668,19,18,5,0.33333333333333331,0,0,0]","[0,0,0,2.4832774042918895,1.4719601443879746,2.1213203435596424,0.70710678118654746,0.70710678118654746,0.408248290463863,0,0,0]","[0,0,0,0.66666666666666663,5,2.3333333333333335,4,1,0,0.66666666666666663,1.3333333333333333,1]","[0,0,0,0.816496580927726,1.2247448713915889,1.0801234497346432,1.2247448713915889,0.70710678118654746,0,0.816496580927726,1.0801234497346435,0.70710678118654746]",0,0,30,30,160,115,19,5,NaN,NaN
Trarg1(Tusc5-eGFP/Tusc5-eGFP),Female,45.8571,Right,VN,F-mini-ON,DJID_1744,133.333333333333,0.625,"[30,42,59,82,115,160,224,314,439,614,858,1200]","[0,2.5,4.666666666666667,11,12,26,19.75,6,0.75,1.25,1.5,1]","[0,1.3743685418725535,3.5590260840104375,7.4498322128756689,8,16.8967452487158,8.2512625296577085,1.699673171197595,0.28867513459481292,0.86602540378443871,1.1055415967851334,1.1547005383792517]","[0,0.25,0,0,0,0,0,0,0,1.25,1,3.75]","[0,0.28867513459481292,0,0,0,0,0,0,0,1.4433756729740645,1.1547005383792517,4.3301270189221936]",0,0,30,30,160,1200,26,3.75,NaN,NaN
